clip_id,source,angle_median,angle_min,angle_max,p1_x,p1_y,p2_x,p2_y,camera_x,camera_y,camera_height,focal_px,n_frames_used,n_frames_hip_fallback,reproj_rmse_px
03jodankeri-2_14,03jodankeri-2_norm.mp4,58.36,12.82,88.34,-1.027,-1.088,-2.043,0.464,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_15,03jodankeri-2_norm.mp4,49.69,8.37,88.63,-1.027,-1.089,-2.089,0.088,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_16,03jodankeri-2_norm.mp4,45.72,5.78,88.99,-0.842,-0.914,-1.550,-0.345,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_17,03jodankeri-2_norm.mp4,41.67,6.89,84.95,-0.973,-0.933,-1.965,-0.191,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_18,03jodankeri-2_norm.mp4,45.23,6.91,89.36,-0.952,-0.928,-2.009,-0.030,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_19,03jodankeri-2_norm.mp4,50.47,7.39,89.32,-0.945,-0.934,-1.843,-0.045,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_20,03jodankeri-2_norm.mp4,53.35,7.45,83.91,-1.000,-0.933,-1.428,-0.202,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_21,03jodankeri-2_norm.mp4,52.68,6.50,83.10,-1.065,-0.939,-1.762,-0.126,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-3_15,03jodankeri-3_norm.mp4,52.34,17.20,89.80,-0.284,-0.975,-1.676,0.715,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_16,03jodankeri-3_norm.mp4,66.48,16.52,88.24,-0.284,-0.860,-0.996,0.597,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_17,03jodankeri-3_norm.mp4,59.92,12.30,89.18,-0.332,-0.842,-1.221,0.455,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_18,03jodankeri-3_norm.mp4,58.58,14.14,89.57,-0.395,-0.872,-1.371,0.504,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_19,03jodankeri-3_norm.mp4,57.34,15.30,87.71,-0.276,-1.228,-1.481,0.224,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_20,03jodankeri-3_norm.mp4,51.32,14.84,87.77,-0.265,-1.257,-1.773,0.329,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_21,03jodankeri-3_norm.mp4,63.75,12.19,89.91,-0.292,-1.246,-1.098,-0.114,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_22,03jodankeri-3_norm.mp4,69.07,16.19,85.61,-0.269,-1.362,-0.930,-0.083,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_23,03jodankeri-3_norm.mp4,61.59,15.54,87.18,-0.304,-1.327,-1.260,-0.156,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_24,03jodankeri-3_norm.mp4,62.74,11.82,86.86,-0.269,-1.314,-1.094,-0.012,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_25,03jodankeri-3_norm.mp4,51.12,14.37,87.65,-0.273,-1.163,-1.385,-0.214,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_26,03jodankeri-3_norm.mp4,44.26,13.97,89.99,-0.216,-1.195,-1.848,-0.050,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-4_09,03jodankeri-4_norm.mp4,42.47,11.73,72.19,-1.691,-0.043,0.026,1.065,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_10,03jodankeri-4_norm.mp4,37.68,9.57,66.48,-1.910,-0.312,0.001,1.063,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_11,03jodankeri-4_norm.mp4,35.92,9.56,69.90,-2.169,-0.417,-0.089,1.075,6.446,0.117,1.341,1635.3,60,0,7.22
